vcf_label	x	y	z
tsk_41	0.6346652417643078	0.7175212707667523	-7.953031540099203e+306
tsk_42	0.1112919125028664	0.9922572745188822	-5.486997788285198e+303
tsk_43	0.39070585519954754	0.9351758253375956	-7.953031540099203e+306
tsk_44	0.3766080461273787	0.5547078692804	-5.486129286160072e+303
tsk_45	0.2614851450708333	0.611222448549828	-7.600542711054103e+306
tsk_46	0.12873140499411373	0.929356590199485	-5.486992556309575e+303
tsk_47	0.9052810500240819	0.7595637028830774	-7.600542711054103e+306
tsk_48	0.411352087188511	0.28826663284175386	-7.373356098562538e+306
tsk_49	0.9646166056170057	0.36995758231556247	-7.953031540099203e+306
tsk_50	0.2166663988197916	0.9913319517963632	-5.486997788285198e+303
tsk_51	0.431508001070934	0.967112277672173	-7.953031540099203e+306
tsk_52	0.714402433191214	0.39387452526907696	-7.373356098644288e+306
tsk_53	0.032921145092904155	0.6025118888618782	-7.953031540099203e+306
tsk_54	0.10106245365653199	0.48656184804065356	-5.486997788285198e+303
tsk_55	0.7899295703747935	0.5599626637908289	-1.889120565896255e+306
tsk_56	0.6551285383715062	0.21840884536623217	-7.724468039047084e+306
tsk_57	0.5193659823279249	0.005416443236339719	-7.600542711136173e+306
tsk_58	0.2568069644874589	0.41043001030109005	-5.486997788285198e+303
tsk_59	0.0012460736665689254	0.5799351377430261	-5.486997788285198e+303
tsk_60	0.6018031944263139	0.7918537132602803	-5.48612929179288e+303
tsk_61	0.7087123574294507	0.6094289934305944	-7.953031540017133e+306
tsk_62	0.400750112986453	0.3450199843871806	-5.486997788285198e+303
tsk_63	0.8110232521721492	0.4035125866257001	-5.486997788285198e+303
tsk_64	0.7333957093392758	0.4092919969111974	-7.600542711136173e+306
tsk_65	0.42730784330381383	0.5325456464340872	-7.600542711054103e+306
tsk_66	0.7488938655146928	0.837885896807	-5.486992556309577e+303
tsk_67	0.5445433747681703	0.03885493797010238	-5.486992556309575e+303
tsk_68	0.8413291127298549	0.5639045635161446	-7.600542711136173e+306
tsk_69	0.787011605714688	0.8120110419070632	-7.953031540099203e+306
tsk_70	0.5628109253022127	0.9248438029949476	-7.953031540099203e+306
tsk_71	0.7431722854847833	0.5067504367328204	-5.486997788285198e+303
tsk_72	0.6754244261270778	0.5312672170019996	-7.953031540017133e+306
tsk_73	0.3172946237999275	0.5938471461446916	-1.3872369861847099e+305
tsk_74	0.9726355522484765	0.6132845457900952	-7.953031540017133e+306
tsk_75	0.23623732863028035	0.6097116009811561	-5.486997788285196e+303
tsk_76	0.49683359908454844	0.5782646995434477	-7.600542711136173e+306
tsk_77	0.55066000511412	0.9683326968191773	-7.374727629661486e+306
tsk_78	0.3554573087952379	0.7193955538697043	-7.953031540017133e+306
tsk_79	0.22287273383449385	0.0353701294881151	-5.486997788285198e+303
tsk_80	0.3650484794087423	0.2647501327237939	-7.953031540099203e+306
tsk_81	0.30801059308663553	0.06860662412962294	-7.724468039047084e+306
