vcf_label	x	y	z
tsk_174	4.147800522562979	94.58478870564501	2.0
tsk_175	3.674247186035896	19.864187983857413	-4.0
tsk_176	84.545978785293	84.88854165570562	4.0
tsk_177	14.820263568694639	54.667745595536694	-4.0
tsk_178	24.28721189263408	45.20739531723904	-8.0
tsk_179	27.62152512249412	80.37073453547515	6.0
tsk_180	72.49853249704235	92.11436634383726	2.0
tsk_181	66.07468761966841	27.692863610876124	0.0
tsk_182	56.04767281449418	99.8736945513743	8.0
tsk_183	39.705409039982456	99.39404517202817	-8.0
tsk_184	71.04346493383119	35.61805401048837	-10.0
tsk_185	45.86079591715609	48.326776443676984	-6.0
tsk_186	78.58440712320777	49.381779634588476	0.0
tsk_187	98.7023339800043	93.38781672146939	12.0
tsk_188	51.9084364161889	51.643181813916335	-6.0
tsk_189	57.301682375039604	59.53484944043772	0.0
tsk_190	32.10033165671836	81.62011630706552	6.0
tsk_191	66.07155441970386	41.429935954669006	10.0
tsk_192	20.382402502000534	84.91491840691266	4.0
tsk_193	33.68791376273971	90.16619310376241	0.0
tsk_194	91.91475903994295	64.19703476420098	-2.0
tsk_195	60.703432755462856	31.954801206568664	8.0
tsk_196	8.927122900931977	27.012207331876066	-4.0
tsk_197	92.31398467051392	55.98068720444479	0.0
tsk_198	88.94682892454736	67.54938906570024	2.0
tsk_199	0.5505313296718313	31.92485395943695	-6.0
tsk_200	81.84926971017472	33.78278583074546	6.0
tsk_201	24.731216801687086	65.31411931733963	-6.0
tsk_202	69.41661893982999	61.33404296427559	-8.0
tsk_203	50.024455913590884	83.19201248519711	2.0
tsk_204	57.84963165571517	92.43777582139006	-2.0
tsk_205	56.82802096282068	96.04899260080002	0.0
tsk_206	87.31192369098945	59.17132458671029	4.0
tsk_207	19.687106972725218	53.05450890659807	-2.0
tsk_208	67.79423844925013	80.37756706904653	-8.0
tsk_209	13.677269278048186	72.4841531191854	8.0
tsk_210	46.75460765350697	91.79314967649026	0.0
tsk_211	76.19590925388195	91.59540129553027	0.0
tsk_212	57.0479522002692	13.824141368919388	8.0
tsk_213	52.810090497686794	66.4088028603775	0.0
tsk_214	44.74626440416142	24.061738311178214	4.0
tsk_215	31.349671303917095	16.25300352925396	-2.0
tsk_216	21.360572393268583	33.91577030542336	8.0
tsk_217	80.72622207908518	88.85762274825879	-4.0
tsk_218	97.72311560521558	89.95403165269633	4.0
tsk_219	34.17197276504273	44.32955764685672	2.0
tsk_220	60.964419224298055	22.572075396464026	4.0
tsk_221	57.46845528766669	42.48597294923566	2.0
tsk_222	12.472259073849461	85.27682677357328	0.0
tsk_223	40.85263006735403	97.80160539756152	-8.0
tsk_224	74.3462277777469	2.4864293920049114	4.0
tsk_225	12.360387037466307	90.31562594521527	6.0
tsk_226	19.01143432863754	67.8371662625631	6.0
tsk_227	56.76042862319378	89.4323728847566	0.0
tsk_228	15.954382973246796	68.76943265540507	10.0
tsk_229	58.538871454236435	39.885330396908316	2.0
tsk_230	4.1595819737384865	11.274063059805892	2.0
tsk_231	69.69474491410048	75.51193942065629	4.0
tsk_232	98.88381760464672	8.73673884067347	-8.0
