vcf_label	species	x	y	z
tsk_141	0	59.84705789128669	1.6491761324295846	2.0
tsk_142	0	5.706969359986655	80.0316407954843	0.0
tsk_143	0	68.87566045052736	50.76392638944528	-2.0
tsk_144	0	80.43436462736713	0.4110076048458503	0.0
tsk_145	0	81.77067603756485	84.91681443219944	8.0
tsk_146	0	46.89478067376859	13.890559140549724	-10.0
tsk_147	0	34.847230915258514	0.04731287765680747	-8.0
tsk_148	0	65.15594226875118	77.84580484905487	-4.0
tsk_149	0	27.27276339016617	32.22679872316318	0.0
tsk_150	0	68.96467946141061	49.2288644788023	-6.0
tsk_151	0	55.8834860623235	46.646602379298976	4.0
tsk_152	0	12.504705504004864	3.6133545991435754	0.0
tsk_153	0	4.659536487007708	28.62482419116872	-2.0
tsk_154	0	96.53464629427052	34.67983012522506	4.0
tsk_155	0	73.68997119619497	84.96172973199215	-2.0
tsk_156	0	46.67199024488833	50.24376596041324	-8.0
tsk_157	0	31.700568582524657	69.88380007170417	2.0
tsk_158	0	15.271291577379351	72.77535729167515	-4.0
tsk_159	0	79.4609407708509	13.318935745845975	-4.0
tsk_160	0	84.04392335477812	6.20343511605456	0.0
tsk_161	0	6.181015591160441	62.68954553959392	-8.0
tsk_162	0	58.730114802108616	95.10988190890053	-12.0
tsk_163	0	89.48466083065638	39.96982321231083	8.0
tsk_164	0	83.41490688902117	0.02379430285670736	-2.0
tsk_165	0	99.78927378384992	27.47244034793173	-4.0
tsk_166	0	66.80346499998139	37.61465386525511	-6.0
tsk_167	0	64.04196964351982	54.314777050016524	2.0
tsk_168	0	46.853251661696746	73.74919235075646	6.0
tsk_169	0	69.72387997008352	27.43431273051423	2.0
tsk_170	0	32.800287182892994	22.6371581501337	10.0
tsk_171	0	20.827728477429496	20.937311263012457	4.0
tsk_172	0	95.15891890988564	9.457343045104443	6.0
tsk_173	0	46.77692570020326	69.80868310679837	6.0
tsk_174	0	8.893442821746705	18.815969700247955	-2.0
tsk_175	0	29.025884486809073	48.41780813691027	-4.0
tsk_176	0	66.0241650958261	21.05644486640479	0.0
tsk_177	0	54.99263631085629	78.74492368822104	4.0
tsk_178	0	21.0099709252296	50.83438833314883	2.0
tsk_179	0	52.60330789794487	70.75269838524588	0.0
tsk_180	0	98.26088500674659	5.831588131542259	0.0
tsk_181	0	59.21434131317712	6.23374823872375	-4.0
tsk_182	0	65.03885372561653	71.19683648786778	2.0
tsk_183	0	70.52058625245698	36.157837147360965	-8.0
tsk_184	0	66.35443348313882	52.32118203648867	4.0
tsk_185	0	71.08911359524218	53.3678231884563	2.0
tsk_186	0	54.74657190738014	33.919711524340975	-4.0
tsk_187	0	52.470000935627915	91.79830883446208	-8.0
tsk_188	0	85.27690155781104	23.17247033142351	2.0
tsk_189	0	11.285298533789701	81.86900447686224	8.0
tsk_190	0	19.072518366068188	37.56681583396541	2.0
tsk_191	0	17.069087549023543	83.30378320571837	12.0
tsk_192	0	42.08360887622896	72.08125117048344	0.0
tsk_193	0	43.139733042656765	4.4304089306410015	6.0
tsk_194	0	45.178494748857815	34.32468547277334	4.0
tsk_195	0	72.3853200555899	49.06306717434822	6.0
tsk_196	0	48.663080223686876	93.91624727135121	-4.0
tsk_197	0	25.20776833674432	22.635450455190647	6.0
tsk_198	0	88.19530930810468	9.367215516825443	6.0
tsk_199	0	49.49903322606206	44.33401662367602	8.0
tsk_200	0	68.0321380766343	93.06085848940465	-6.0
tsk_201	0	93.49583044102835	24.796333989187325	-2.0
tsk_202	0	31.282213182528192	32.23154713727914	8.0
tsk_203	0	36.40363501271861	72.68071087020593	-2.0
tsk_204	0	16.266576377096396	34.24504674765902	2.0
tsk_205	0	66.38548872313514	18.601702728201655	-4.0
tsk_206	0	65.33646654408665	51.75407292283606	0.0
tsk_207	0	92.84337995685561	47.302197617815715	0.0
tsk_208	0	39.9267748204651	78.95610396923348	0.0
tsk_209	0	25.967491556035792	13.968941411439346	2.0
tsk_210	0	46.141879237418266	61.46472386769255	-2.0
tsk_211	0	17.998539750801974	91.4480822759756	8.0
tsk_212	0	60.25724680450862	82.83091309393717	-4.0
tsk_213	0	31.061063246535646	96.29242105934934	0.0
tsk_214	0	30.64739840390438	89.8818733045587	6.0
tsk_215	0	14.427552417101289	37.54862012406474	4.0
tsk_216	0	83.56062907703962	59.76717675045225	-4.0
tsk_217	0	94.52248161430828	68.69768719700131	8.0
tsk_218	0	54.596468415594465	29.147466318234603	-4.0
tsk_219	0	34.449380789225515	43.440705472849615	0.0
tsk_220	0	30.365855541136625	73.34522704472383	-2.0
tsk_221	0	35.78662992086442	85.71749200681663	-2.0
tsk_222	0	41.717180538005934	14.780008644643047	0.0
tsk_223	0	92.53177879938652	41.72711995049749	-4.0
tsk_224	0	29.91109874080205	21.24900250713279	4.0
tsk_225	0	60.8325279560843	40.33325223816207	-12.0
tsk_226	0	5.032113496342802	78.35305860502655	2.0
tsk_227	0	53.62615608232718	53.283321685757336	8.0
tsk_228	0	7.143025239239798	2.217877820831315	6.0
tsk_229	0	86.33913478645229	78.17228664637949	2.0
tsk_230	0	90.50976762659684	85.29616376511551	6.0
tsk_231	0	66.98844053119845	15.291258247489408	-12.0
tsk_232	0	59.78337914879435	11.893336008745264	-12.0
tsk_233	0	95.30453934109471	19.20121302274307	-8.0
tsk_234	0	64.82478409131697	73.95068858132319	-6.0
tsk_235	0	34.71348228816156	64.44195964205271	-2.0
tsk_236	0	41.397502323059555	63.93048313477384	-8.0
tsk_237	0	62.826105568867874	17.608414372823926	-4.0
tsk_238	0	82.93569929623801	50.50534035944029	0.0
tsk_239	0	82.43270107585852	87.34260379861188	2.0
tsk_240	0	19.272214225558166	21.709605435326615	-4.0
tsk_241	0	75.68107539390996	18.000734925358405	-4.0
tsk_242	0	76.75391042031325	94.1882747232488	-2.0
tsk_243	0	35.67425879512538	10.370207698957131	4.0
tsk_244	0	94.42147050634732	72.69991627332632	0.0
tsk_245	0	18.185437313563007	51.3967655026065	6.0
tsk_246	0	34.14675136548453	93.67722144762587	2.0
tsk_247	0	64.90560696735312	25.91868327655217	-4.0
tsk_248	0	49.074311960510855	35.55526095007641	2.0
tsk_249	0	55.378189757651114	38.63040196875877	10.0
tsk_250	0	13.405513917643216	24.60128328063488	4.0
tsk_251	0	58.31143673584471	92.10397325883511	-4.0
tsk_252	0	92.59881490056041	48.48393827566893	-2.0
tsk_253	0	65.1745480772787	39.54945582005987	0.0
tsk_254	0	40.73100341555774	29.530763423938936	8.0
tsk_255	0	94.04159791498927	82.5853729277353	4.0
tsk_256	0	67.39278932727197	76.34727138075972	-6.0
tsk_257	0	10.6791226968678	18.08828970849807	2.0
tsk_258	0	97.71944864791338	43.62554171758107	10.0
tsk_259	0	71.98650767403704	47.20164100635641	-2.0
tsk_260	0	29.23965936765897	82.63145495622474	2.0
tsk_261	0	72.84706742062876	39.106452731062326	-6.0
tsk_262	0	34.366445045588144	25.334852876413468	12.0
tsk_263	0	95.66580809184907	92.30846414790327	2.0
tsk_264	0	95.48849184395738	91.13186343550416	4.0
tsk_265	0	73.69479316725892	15.251428245787482	0.0
tsk_266	0	65.67637107913554	32.61173045395731	-2.0
tsk_267	0	80.38919563510667	95.83536156974976	-2.0
tsk_268	0	73.88538561490273	4.704465560802568	6.0
tsk_269	0	99.72553809742233	29.379833953946413	-2.0
tsk_270	0	99.32187309919988	30.548275852984336	-4.0
tsk_271	0	71.66190840403227	11.428965088465132	0.0
tsk_272	0	33.89274381115704	82.8796087571214	0.0
tsk_273	0	10.714301765367363	4.040237780929191	10.0
tsk_274	0	86.78663400344415	5.569489375913242	2.0
tsk_275	0	94.26751609995729	98.13860500209552	-10.0
tsk_276	0	23.617585196605358	36.272333386933695	10.0
tsk_277	0	46.55591580962028	75.82991485511225	4.0
tsk_278	0	41.23365402724501	31.20767693153902	8.0
tsk_279	0	61.65489582026127	78.5861536370485	-6.0
tsk_280	0	36.26615238014977	58.381818129106165	-10.0
tsk_281	0	48.36272691420191	33.42872133185122	4.0
tsk_282	0	42.88929415550452	95.12621721410262	-12.0
tsk_283	0	6.541334010271826	35.86344150494411	0.0
tsk_284	0	33.68547677106861	61.870122573751225	-2.0
tsk_285	0	79.57106065188034	30.204318615515003	-16.0
tsk_286	0	87.02849717909312	89.16082190510623	2.0
tsk_287	0	69.56017047645956	96.15938835170252	0.0
tsk_288	0	11.538760989387516	12.13475490674583	2.0
tsk_289	0	35.09792958081889	75.18826807666099	-4.0
tsk_290	0	40.5938755432898	74.22797780959382	2.0
tsk_291	0	62.34101661757999	43.89365884638461	2.0
tsk_292	0	75.91074464221624	31.74768594368666	-4.0
tsk_293	0	53.863714035158274	85.68080521951518	2.0
