Bₕ,Bₚ,LAₕ,LAₚ
0.007,0.097,-0.030026159916386696,0.4160767874127871
0.007,0.099,-0.030654859553421253,0.43354729939838627
0.009,0.001,0.0036138832744845736,-0.00040154258605384154
0.009,0.003,0.0026945750521841,-0.0008981916840613668
0.009,0.005,0.0017777317171837376,-0.0009876287317687432
0.009,0.007,0.0008633421435197691,-0.0006714883338487093
0.009,0.009,-4.8604724270721764e-5,4.8604724270721764e-5
0.009,0.011,-0.000958119870490638,0.0011710353972663355
0.009,0.013,-0.0018652142094924447,0.002694198302600198
0.009,0.015,-0.002769898586277272,0.004616497643795453
0.009,0.017,-0.003672183776542998,0.006936347133470108
0.009,0.019,-0.004572080488027754,0.009652169919169703
0.009,0.021,-0.005469599360468804,0.012762398507760543
0.009,0.023,-0.006364750966326743,0.0162654746917239
0.009,0.025,-0.007257545811289884,0.020159849475805236
0.009,0.027,-0.008147994335226868,0.0244439830056806
0.009,0.029,-0.009036106912084394,0.029116344494494163
0.009,0.031,-0.009921893850889875,0.034175412153065125
0.009,0.033,-0.010805365396100828,0.03961967311903637
0.009,0.035,-0.011686531728069504,0.04544762338693697
0.009,0.037,-0.012565402963889787,0.05165776774043579
0.009,0.039,-0.013441989157380402,0.05824861968198175
0.009,0.041,-0.014316300300104832,0.06521870136714424
0.009,0.043,-0.015188346321562301,0.07256654353635322
0.009,0.045,-0.016058137089837655,0.08029068544918827
0.009,0.047,-0.016925682411968714,0.08838967481805884
0.009,0.049,-0.017790992034577815,0.09686206774381256
0.009,0.051,-0.01865407564423685,0.10570642865067548
0.009,0.053,-0.019514942868068107,0.11492133022306775
0.009,0.055,-0.020373603274066218,0.12450535334151579
0.009,0.057,-0.021230066371717052,0.13445708702087467
0.009,0.059,-0.022084341612340786,0.14477512834756737
0.009,0.061,-0.02293643838967476,0.15545808241890674
0.009,0.063,-0.02378636604019374,0.1665045622813562
0.009,0.065,-0.02463413384371886,0.17791318887130292
0.009,0.067,-0.025479751023709297,0.18968259095428033
0.009,0.069,-0.026323226747769657,0.20181140506623407
0.009,0.071,-0.027164570128163593,0.21429827545551278
0.009,0.073,-0.02800379022213864,0.22714185402401343
0.009,0.075,-0.028840896032365584,0.2403408002697132
0.009,0.077,-0.029675896507515877,0.2538937812309692
0.009,0.079,-0.030508800542461873,0.2677994714282765
0.009,0.081,-0.03133961697879022,0.282056552809112
0.009,0.083,-0.032168354605288586,0.296663714693217
0.009,0.085,-0.03299502215824835,0.31161965371679
0.009,0.087,-0.033819628322002124,0.32692307377935387
0.009,0.089,-0.03464218172915336,0.3425726859882943
0.009,0.091,-0.03546269096108549,0.3585672086065311
0.009,0.093,-0.03628116454832656,0.37490536699937455
0.009,0.095,-0.03709761097094436,0.39158589358219054
0.009,0.097,-0.03791203865899144,0.40860752776912995
0.009,0.099,-0.03872445599281178,0.4259690159209297
0.011,0.001,0.0055288161219439625,-0.0005026196474494512
0.011,0.003,0.0043992612654780725,-0.0011997985269485653
0.011,0.005,0.003272741285216725,-0.0014876096750985114
0.011,0.007,0.0021492424552708098,-0.0013676997442632426
0.011,0.009,0.0010287511373613554,-0.0008417054760229271
0.011,0.011,-8.87462191616668e-5,8.87462191616668e-5
0.011,0.013,-0.0012032630783362793,0.00142203818348833
0.011,0.015,-0.002314812818457061,0.0031565629342596288
0.011,0.017,-0.0034234087325524065,0.0052907225866719015
0.011,0.019,-0.004529064028934572,0.007822928777250625
0.011,0.021,-0.0056317918325633825,0.010751602589439186
0.011,0.023,-0.0067316051846828834,0.014075174477064212
0.011,0.025,-0.007828517044675994,0.017792084192445445
0.011,0.027,-0.008922540290062307,0.02190078071197112
0.011,0.029,-0.010013687717039822,0.02639972216310499
0.011,0.031,-0.011101972041571062,0.03128737575351845
0.011,0.033,-0.012187405899889477,0.036562217699668435
0.011,0.035,-0.01327000184896463,0.042222733155796555
0.011,0.037,-0.014349772367570904,0.04826741614546577
0.011,0.039,-0.015426729856455944,0.054694769491071084
0.011,0.041,-0.01650088663910265,0.06150330474574624
0.011,0.043,-0.01757225496263488,0.06869154212666362
0.011,0.045,-0.018640846998101264,0.07625801044677791
0.011,0.047,-0.01970667484120158,0.0842012470487704
0.011,0.049,-0.020769750513045672,0.09251979773993073
