Bₕ,Bₚ,LAₕ,LAₚ
0.003,0.049,1888.6405332356037,-30847.79537618153
0.003,0.051,1967.3562643307996,-33445.05649362359
0.003,0.053,2045.803230764352,-36142.52374350355
0.003,0.055,2123.9828119030935,-38939.68488489005
0.003,0.057,2201.896377657365,-41836.03117548993
0.003,0.059,2279.5452885621467,-44831.05734172221
0.003,0.061,2356.930895857488,-47924.26154910225
0.003,0.063,2434.0545415678844,-51115.14537292557
0.003,0.065,2510.9175585810813,-54403.213769256756
0.003,0.067,2587.521270725889,-57787.97504621152
0.003,0.069,2663.8669928492873,-61268.94083553361
0.003,0.071,2739.9560308927184,-64845.626064460994
0.003,0.073,2815.789681967628,-68517.54892787895
0.003,0.075,2891.369234430159,-72284.23086075396
0.003,0.077,2966.69597350259,-76145.19665323314
0.003,0.079,3041.7711595987457,-80099.97386943364
0.003,0.081,3116.5960603691774,-84148.09362996779
0.003,0.083,3191.17192988125,-88289.09006004792
0.003,0.085,3265.500013809574,-92522.50039127127
0.003,0.087,3339.5815495062866,-96847.8649356823
0.003,0.089,3413.4177660707583,-101264.72706009915
0.003,0.091,3487.009884418411,-105772.6331606918
0.003,0.093,3560.359117348951,-110371.13263781747
0.003,0.095,3633.4665612371787,-115059.77443917733
0.003,0.097,3706.3336273825753,-119838.12061870327
0.003,0.099,3778.961398493092,-124705.72615027204
0.005,0.001,-283.7198845981087,56.74397691962174
0.005,0.003,-140.03121929783833,84.018731578703
0.005,0.005,3.1429190876422677,-3.1429190876422677
0.005,0.007,145.8053197667097,-204.12744767339356
0.005,0.009,287.958613251844,-518.3255038533191
0.005,0.011,429.60566118341495,-945.1324546035128
0.005,0.013,570.7491382111125,-1483.9477593488923
0.005,0.015,711.3917301340543,-2134.175190402163
0.005,0.017,851.5361091930489,-2895.2227712563663
0.005,0.019,991.1849284898293,-3766.5027282613514
0.005,0.021,1130.3408224562688,-4747.431454316329
0.005,0.023,1269.006406719103,-5837.429470907873
0.005,0.025,1407.1842783630043,-7035.921391815022
0.005,0.027,1544.8770160951183,-8342.33588691364
0.005,0.029,1682.0871804079359,-9756.105646366028
0.005,0.031,1818.8173137403992,-11276.667345190475
0.005,0.033,1955.0699406372687,-12903.461608205973
0.005,0.035,2090.8475679068015,-14635.93297534761
0.005,0.037,2226.1526847768096,-16473.52986734839
0.005,0.039,2360.987763049048,-18415.704551782575
0.005,0.041,2495.3552572519075,-20461.913109465644
0.005,0.043,2629.2576047916045,-22611.615401207797
0.005,0.045,2762.697226101678,-24864.275034915103
0.005,0.047,2895.676524791044,-27219.359333035813
0.005,0.049,3028.1978877903493,-29676.339300345422
0.005,0.051,3160.2636854968773,-32234.689592068145
0.005,0.053,3291.8762719179977,-34893.888482330774
0.005,0.055,3423.0379848129683,-37653.41783294265
0.005,0.057,3553.7511458334297,-40512.7630625011
0.005,0.059,3684.0180606622594,-43471.413115814656
0.005,0.061,3813.8410191512307,-46528.860433645015
0.005,0.063,3943.222295456952,-49684.60092275759
0.005,0.065,4072.16414817565,-52938.13392628345
0.005,0.067,4200.668820476442,-56288.96219438433
0.005,0.069,4328.738540233243,-59736.59185521875
0.005,0.071,4456.37552015536,-63280.532386206105
0.005,0.073,4583.581957916727,-66920.2965855842
0.005,0.075,4710.360036283771,-70655.40054425655
0.005,0.077,4836.711923242021,-74485.36361792711
0.005,0.079,4962.63977212149,-78409.70839951953
0.005,0.081,5088.145721720581,-82427.9606918734
0.005,0.083,5213.2319061036505,-86539.6496413206
0.005,0.085,5337.900416786552,-90744.30708537139
