Bₕ,Bₚ,LAₕ,LAₚ
0.005,0.019,-1.8550470607766713e-18,7.049178830951352e-18
0.005,0.021,-2.1203828583978676e-18,8.905608005271043e-18
0.005,0.023,-2.3858677508126967e-18,1.0974991653738405e-17
0.005,0.025,-2.6515016105897136e-18,1.3257508052948569e-17
0.005,0.027,-2.9172843104426484e-18,1.57533352763903e-17
0.005,0.029,-3.183215723230209e-18,1.8462651194735214e-17
0.005,0.031,-3.449295721955866e-18,2.138563347612637e-17
0.005,0.033,-3.7155241797676505e-18,2.4522459586466495e-17
0.005,0.035,-3.981900969957951e-18,2.787330678970566e-17
0.005,0.037,-4.248425965963301e-18,3.1438352148128427e-17
0.005,0.039,-4.5150990413641886e-18,3.521777252264067e-17
0.005,0.041,-4.781920069884832e-18,3.921174457305562e-17
0.005,0.043,-5.04888892539299e-18,4.342044475837971e-17
0.005,0.045,-5.3160054818997534e-18,4.7844049337097775e-17
0.005,0.047,-5.58326961355934e-18,5.2482734367457804e-17
0.005,0.049,-5.850681194668894e-18,5.733667570775516e-17
0.005,0.051,-6.118240099668285e-18,6.24060490166165e-17
0.005,0.053,-6.385946203139897e-18,6.76910297532829e-17
0.005,0.055,-6.653799379808432e-18,7.319179317789275e-17
0.005,0.057,-6.921799504540713e-18,7.890851435176413e-17
0.005,0.059,-7.189946452345477e-18,8.484136813767661e-17
0.005,0.061,-7.458240098373169e-18,9.099052920015264e-17
0.005,0.063,-7.726680317915753e-18,9.735617200573848e-17
0.005,0.065,-7.995266986406501e-18,1.0393847082328453e-16
0.005,0.067,-8.263999979419801e-18,1.1073759972422535e-16
0.005,0.069,-8.532879172670944e-18,1.1775373258285902e-16
0.005,0.071,-8.80190444201595e-18,1.2498704307662646e-16
0.005,0.073,-9.071075663451338e-18,1.3243770468638951e-16
0.005,0.075,-9.340392713113947e-18,1.401058906967092e-16
0.005,0.077,-9.609855467280739e-18,1.4799177419612336e-16
0.005,0.079,-9.879463802368586e-18,1.5609552807742365e-16
0.005,0.081,-1.0149217594934085e-17,1.6441732503793219e-16
0.005,0.083,-1.0419116721673356e-17,1.729573375797777e-16
0.005,0.085,-1.0689161059421839e-17,1.8171573801017126e-16
0.005,0.087,-1.0959350485154113e-17,1.9069269844168154e-16
0.005,0.089,-1.1229684875983693e-17,1.998883907925097e-16
0.005,0.091,-1.1500164109162816e-17,2.0930298678676324e-16
0.005,0.093,-1.1770788062082277e-17,2.1893665795473034e-16
0.005,0.095,-1.2041556612271204e-17,2.2878957563315287e-16
0.005,0.097,-1.2312469637396888e-17,2.3886191096549963e-16
0.005,0.099,-1.2583527015264565e-17,2.491538349022384e-16
0.007,0.001,1.1070751652647844e-18,-1.5815359503782634e-19
0.007,0.003,7.365360132631252e-19,-3.1565829139848223e-19
0.007,0.005,3.657861506069497e-19,-2.612758218621069e-19
0.007,0.007,-5.174242094609404e-21,5.174242094609404e-21
0.007,0.009,-3.763449844387706e-19,4.838721228498479e-19
0.007,0.011,-7.477258962288109e-19,1.1749978369309885e-18
0.007,0.013,-1.1193167974737677e-18,2.0787311953084257e-18
0.007,0.015,-1.4911175083881504e-18,3.1952518036888936e-18
0.007,0.017,-1.863127849391641e-18,4.524739062808272e-18
0.007,0.019,-2.2353476411088074e-18,6.067372168723906e-18
0.007,0.021,-2.6077767043688084e-18,7.823330113106426e-18
0.007,0.023,-2.9804148602051027e-18,9.792791683531051e-18
0.007,0.025,-3.3532619298551552e-18,1.1975935463768412e-17
0.007,0.027,-3.726317734760153e-18,1.4372939834074874e-17
0.007,0.029,-4.099582096564708e-18,1.6983982971482363e-17
0.007,0.031,-4.473054837116571e-18,1.980924285008767e-17
0.007,0.033,-4.846735778466342e-18,2.2848897241341327e-17
0.007,0.035,-5.220624742867181e-18,2.6103123714335906e-17
0.007,0.037,-5.59472155277452e-18,2.957209963609389e-17
0.007,0.039,-5.96902603084578e-18,3.325600217185506e-17
0.007,0.041,-6.343537999940074e-18,3.715500828536329e-17
0.007,0.043,-6.718257283117929e-18,4.1269294739152986e-17
0.007,0.045,-7.093183703640996e-18,4.559903809483497e-17
0.007,0.047,-7.468317084971761e-18,5.0144414713381824e-17
0.007,0.049,-7.843657250773272e-18,5.4905600755412906e-17
0.007,0.051,-8.219204024908842e-18,5.98827721814787e-17
0.007,0.053,-8.594957231441769e-18,6.507610475234482e-17
0.007,0.055,-8.970916694635045e-18,7.048577402927536e-17
0.007,0.057,-9.347082238951099e-18,7.611195537431609e-17
0.007,0.059,-9.723453689051469e-18,8.195482395057666e-17
0.007,0.061,-1.010003086979657e-17,8.801455472251297e-17
0.007,0.063,-1.0476813606245374e-17,9.429132245620835e-17
0.007,0.065,-1.0853801723655141e-17,1.0078530171965489e-16
0.007,0.067,-1.123099504748116e-17,1.0749666688303396e-16
0.007,0.069,-1.1608393403376414e-17,1.1442559211899608e-16
0.007,0.071,-1.1985996617191364e-17,1.2157225140294099e-16
0.007,0.073,-1.2363804514973636e-17,1.2893681851329648e-16
0.007,0.075,-1.2741816922967724e-17,1.3651946703179702e-16
0.007,0.077,-1.3120033667614764e-17,1.443203703437624e-16
0.007,0.079,-1.349845457555221e-17,1.5233970163837494e-16
0.007,0.081,-1.3877079473613563e-17,1.6057763390895695e-16
0.007,0.083,-1.4255908188828116e-17,1.6903433995324768e-16
0.007,0.085,-1.463494054842067e-17,1.7770999237367956e-16
0.007,0.087,-1.5014176379811228e-17,1.8660476357765383e-16
0.007,0.089,-1.539361551061478e-17,1.9571882577781645e-16
0.007,0.091,-1.577325776864095e-17,2.0505235099233234e-16
0.007,0.093,-1.6153102981893797e-17,2.1460551104516045e-16
0.007,0.095,-1.6533150978571492e-17,2.243784775663274e-16
0.007,0.097,-1.6913401587066054e-17,2.34371421992201e-16
0.007,0.099,-1.729385463596308e-17,2.445845155657636e-16
0.009,0.001,1.9011730785109718e-18,-2.1124145316788576e-19
0.009,0.003,1.423531813761398e-18,-4.745106045871327e-19
0.009,0.005,9.45619166658345e-19,-5.253439814768584e-19
0.009,0.007,4.674353698817366e-19,-3.6356084324135077e-19
0.009,0.009,-1.1019344154419712e-20,1.1019344154419712e-20
0.009,0.011,-4.897447433016595e-19,5.98576908479806e-19
0.009,0.013,-9.68740595676677e-19,1.3992919715329782e-18
0.009,0.015,-1.4480066696609512e-18,2.4133444494349188e-18
0.009,0.017,-1.9275427339003638e-18,3.64091405292291e-18
0.009,0.019,-2.4073485573048238e-18,5.082180287643517e-18
0.009,0.021,-2.8874239090478944e-18,6.737322454445088e-18
0.009,0.023,-3.3677685585664086e-18,8.606519649669712e-18
0.009,0.025,-3.8483822755601064e-18,1.0689950765444742e-17
0.009,0.027,-4.329264829991245e-18,1.2987794489973735e-17
0.009,0.029,-4.81041599208424e-18,1.5500229307826997e-17
0.009,0.031,-5.291835532325281e-18,1.8227433500231522e-17
0.009,0.033,-5.773523221461962e-18,2.1169585145360528e-17
0.009,0.035,-6.255478830502913e-18,2.4326862118622444e-17
0.009,0.037,-6.737702130717422e-18,2.76994420929494e-17
0.009,0.039,-7.220192893635074e-18,3.128750253908532e-17
0.009,0.041,-7.70295089104537e-18,3.509122072587336e-17
